id,domain,topic,status,physical_candidate_or_question,frequency_status,predicted_or_observed_signal,required_bridge,source_ids,project_caution
"P4-F001","frontier physics","dark matter identity","OPEN","unknown microscopic dark-matter constituent","candidate-dependent","gravitational/cosmological evidence established; nongravitational identity unknown","candidate-specific coupling to detector","P4-SRC-001","no single dark-matter frequency"
"P4-F002","frontier physics","axion/ALP dark matter","MODEL-DEPENDENT","coherent ultralight bosonic field","mass-dependent oscillation","oscillating spin/field/clock or conversion signals depending coupling","axion coupling to photons/spins/matter","P4-SRC-002;P4-SRC-003","candidate not detected"
"P4-F003","frontier physics","dark photon dark matter","MODEL-DEPENDENT","hypothetical vector field/boson","mass-dependent; converted signal scenario-dependent","monochromatic EM conversion signal in plasma under specified model","kinetic mixing / plasma conversion","P4-SRC-004","30-80 MHz is one search window, not universal"
"P4-F004","frontier physics","topological-defect dark matter","MODEL-DEPENDENT","field domain wall/string/localized configuration","transient rather than necessarily periodic","correlated transient sensor event","candidate coupling to spin/clock/network","P4-SRC-002","must support transient objects, not only frequency bars"
"P4-F005","frontier physics","fifth force","MODEL-DEPENDENT / OPEN SEARCH","new mediator boson / interaction","mediator-mass and experiment dependent","precision isotope-shift deviation / King-plot nonlinearity","new boson coupling to electrons/neutrons","P4-SRC-005;P4-SRC-006","no fifth force established"
"P4-F006","cosmology","dynamical dark energy","OPEN","time-varying cosmological component/model","not naturally a single Hz band","expansion-history deviations from LambdaCDM","cosmological model to BAO/CMB/SN observables","P4-SRC-007;P4-SRC-008","2026 Lyman-alpha result shifted toward LambdaCDM; evolving DE not established"
"P4-F007","quantum physics","vacuum zero-point fluctuations","ESTABLISHED","ground-state quantum fluctuations","system/mode dependent","vacuum fluctuation / Casimir-related measurable effects","quantum field/system boundary conditions","P4-SRC-009;P4-SRC-010","does not establish unlimited extractable free energy"
"P4-F008","gravitational","decihertz GW sensitivity gap","OPEN INSTRUMENT FRONTIER","gravitational waves in poorly covered detector region","~0.1-1 Hz detector-coverage gap","candidate astrophysical/cosmological GW signals","new detector concept","P4-SRC-011","instrument gap is not evidence of new physics"
"P4-F009","fundamental physics","quantum nature of gravity","OPEN","unknown fundamental gravitational quantum degrees of freedom","model-dependent","quantum correlations / deviations predicted by specific tests","gravity-matter quantum experiment","P4-SRC-012;P4-SRC-013","no single smoking-gun test yet accepted"
"P4-H001","memory","engram retrieval","PARTLY ESTABLISHED / INCOMPLETE","distributed neuronal ensembles and synaptic/circuit states","multiple neural timescales, no single memory frequency","reactivation required/sufficient for memory expression in experimental models","neural ensemble/circuit dynamics","P4-SRC-014;P4-SRC-015;P4-SRC-016","does not imply external memory field"
"P4-H002","neuroscience","neural oscillatory coordination","ESTABLISHED PHENOMENON","network electrical activity","multi-band and task-dependent","phase/power/cross-frequency relationships correlate with processing","neuronal/synaptic network dynamics","P4-SRC-019","no established universal consciousness or memory frequency"
"P4-H003","consciousness","GNWT/IIT and major neuroscience theories","OPEN THEORY COMPETITION","neural computational/integrative mechanisms","theory/task dependent","theory-specific neural signatures","brain activity to conscious report/experience","P4-SRC-017;P4-SRC-018","consciousness exists; best mechanism unresolved"
"P4-H004","consciousness","electromagnetic-field consciousness theories","MODEL-DEPENDENT / SPECULATIVE","endogenous brain EM field proposed as constitutive substrate","model-dependent","unique field-level predictions beyond standard network neuroscience required","neural currents to endogenous EM field to cognition","P4-SRC-020","EM fields are real; special consciousness role not established"
"P4-H005","consciousness","Orch OR / quantum microtubule consciousness","SPECULATIVE ACTIVE HYPOTHESIS","quantum microtubule/spacetime-collapse dynamics","model-dependent","quantum coherence/entanglement/collapse signatures causally tied to conscious state","microtubules to neural function to consciousness","P4-SRC-021;P4-SRC-022","supportive and critical literature; operational quantum criteria unmet"
"P4-H006","end of life","terminal/paradoxical lucidity","OBSERVED/REPORTED; OPEN MECHANISM","transient recovery of cognitive/communication function","unknown; not established as a spectral phenomenon","prospective physiological changes during lucid episode","brain state to recovered cognition","P4-SRC-025;P4-SRC-026","does not establish nonlocal memory"
"P4-H007","end of life","near-death/recalled experience during resuscitation","OBSERVED PHENOMENOLOGY; OPEN MECHANISM","conscious experience/report during threat/cardiac-arrest contexts","no established unique frequency","subjective reports plus physiological/EEG correlates","brain/resuscitation physiology to experience","P4-SRC-023;P4-SRC-024","cardiac arrest under CPR is not irreversible brain death"
"P4-H008","afterlife","postmortem personal survival","SPECULATIVE / NOT ESTABLISHED","hypothetical persistent conscious information-bearing substrate","unknown","reproducible information-bearing effect independent of irreversibly nonfunctioning brain","unknown carrier coupling to measurable system","P4-SRC-023;P4-SRC-026;P4-SRC-028","no established physical carrier or frequency identified"
"P4-H009","anomalous cognition","mediumship anomalous-information claims","CONTESTED EVIDENCE","unknown if effect is genuine and if so what mechanism","unknown","blinded above-chance information acquisition claimed in some studies","unknown information channel","P4-SRC-027","does not by itself establish survival or a physical field"
"P4-H010","philosophy/physics boundary","soul as physically interacting entity","NOT YET OPERATIONALIZED","undefined physical carrier/degree of freedom","unknown","would require measurable energy/information/momentum coupling","hypothetical soul-to-matter interaction","P4-SRC-028","religious/philosophical meanings are not reducible to one scientific hypothesis"
"P4-H011","memory frontier","nonlocal/external memory field","SPECULATIVE","hypothetical external information substrate","unknown","reproducible retrieval beyond neural/sensory/inferential channels plus physical coupling signature","external substrate to neural state","P4-SRC-014;P4-SRC-015;P4-SRC-027","no established physical substrate identified"
"P4-T001","history/culture","Tesla 3-6-9 quote","UNVERIFIED ATTRIBUTION","historical claim, not physical model","none","primary-source verification or quantitative physical prediction absent","none","P4-SRC-029","must not be cited as Tesla science"
"P4-T002","history/physics","Tesla 'Throughout space there is energy'","VERIFIED HISTORICAL STATEMENT","Tesla's 1891 speculation about natural energy in space","not a modern defined spectrum","historical proposal in context of high-frequency electricity, radiation and heat","historical concept to modern field/energy distinctions","P4-SRC-030","not proof Tesla discovered dark energy or zero-point extraction"
