id,family,phenomenon,min_hz,max_hz,characteristic_hz,range_kind,what_oscillates,evidence_status,source_ids,notes
"GEO-TIDE-SEMI","ocean/geophysical","semidiurnal tidal scale","","","2.237e-5","characteristic geophysical period","ocean surface and water mass","ESTABLISHED","P2-SRC-001","12 h 25 min; representative tidal constituent scale, not full tide spectrum"
"GEO-TIDE-LUNAR","ocean/geophysical","lunar-day tidal scale","","","1.119e-5","characteristic geophysical period","ocean response to Earth-Moon geometry","ESTABLISHED","P2-SRC-001","24 h 50 min"
"ATM-EQUATORIAL","atmospheric","equatorial planetary waves","5e-7","4e-6","","observed/representative","wind pressure geopotential thermodynamic fields","ESTABLISHED","P2-SRC-002","few days to several weeks; family contains multiple dispersive modes"
"OCE-SURFACE","ocean surface","wind waves and swell","0.05","0.2","","observational/practical","free-surface elevation and water velocity","ESTABLISHED","P2-SRC-003","5-20 s representative familiar wave periods; not universal limits"
"SEIS-GROUND","geophysical/seismic","earthquake ground shaking","0.1","30","","observed/representative","elastic displacement and strain in Earth","ESTABLISHED","P2-SRC-004","USGS cited ground-motion context; larger events extend lower"
"ACOU-INFRA","acoustic","infrasound","","20","","conventional upper boundary","pressure density particle motion in matter","ESTABLISHED","P2-SRC-005","frequencies below 20 Hz; volcanic monitoring often 0.5-20 Hz"
"ACOU-HEARING","biological overlay","human auditory sensitivity","20","20000","","biological sensitivity","auditory response to acoustic pressure","ESTABLISHED","P2-SRC-004","overlay only; not physical limit of sound"
"ACOU-ULTRA","acoustic","ultrasound","20000","","","conventional lower boundary","pressure density particle motion in matter","ESTABLISHED","P2-SRC-006","above 20 kHz by common usage; no universal upper cutoff"
"MECH-STRUCT","mechanical","structural mechanical resonance","","","","parameter-dependent","position strain deformation rotation","ESTABLISHED","","geometry mass stiffness and boundaries set modes"
"PHONON-SI","condensed matter","bulk silicon phonon branches","0","1.5e13","","material-specific dispersion","collective silicon lattice displacement","ESTABLISHED","P2-SRC-007","illustrative silicon scale only"
"PHONON-SI-OPT","condensed matter","silicon optical phonon","","","1.55e13","characteristic material mode","relative lattice displacement","ESTABLISHED","P2-SRC-007","representative ~15-16 THz"
"MAGNON-YIG","condensed matter","YIG magnon examples","7e9","7e12","","material-specific examples","collective spin/magnetization","ESTABLISHED","P2-SRC-008","illustrative span from cited dipolar modes to Brillouin-zone edge; not universal"
"MOL-ROT","molecular","molecular rotational transitions","","","","transition family","molecular rotational quantum state","ESTABLISHED","P2-SRC-009","primarily radio/microwave MHz-GHz in cited NIST catalogs; no universal endpoints"
"MOL-VIB-THZ","molecular/condensed","low-frequency molecular vibration","","","","spectroscopy domain","inter/intramolecular coordinates and librations","ESTABLISHED","P2-SRC-010","terahertz probing domain; system dependent"
"MOL-IR-NIST","molecular","representative NIST IR calibration spectra","1.463e13","1.319e14","","dataset coverage","molecular spectroscopic transitions","ESTABLISHED","P2-SRC-010","488-4400 cm^-1 envelope across cited NIST calibration regions; not universal"
"ATOM-ELECTRON","atomic","atomic electronic transitions","","","","transition family","electronic quantum state","ESTABLISHED","P2-SRC-011","broad EM coverage through soft X-ray depending on atom/ion and transition"
