code,label,meaning,does_not_mean,example
"STORES","Stores energy","Energy resides in the selected system/state and can later participate in interactions","Energy is permanently trapped","charged capacitor; mechanical oscillator"
"CARRIES","Carries energy","A propagating excitation transports energy across space or a boundary","The carrier is the only possible energy form","EM wave; acoustic wave; gravitational wave"
"RECEIVES","Receives / gains energy","Selected subsystem gains energy from another system","Total closed-system energy increased","molecule absorbing a photon"
"SUPPLIES","Supplies / releases energy","Selected subsystem transfers energy outward","Creates energy from nothing","battery discharging; excited atom emitting"
"TRANSFERS","Transfers energy","Energy crosses a stated system boundary","Necessarily changes energy form","heat conduction; radiation crossing a surface"
"CONVERTS","Converts energy","Energy changes form or degree of freedom","Creates energy","electrical to mechanical transduction"
"ABSORBS","Absorbs energy","Incoming energy is taken up by the selected system","All absorbed energy remains permanently stored","IR photon exciting/thermalizing in matter"
"EMITS","Emits / radiates energy","Energy leaves in propagating excitations or radiation","Energy vanishes","atomic photon emission; thermal radiation"
"DOES_WORK","Does work / drives","Energy transfer produces controlled change in another subsystem","The driver must have the same frequency as the target","motor torque; radiation-pressure actuation"
"DISSIPATES","Dissipates energy","Organized energy becomes distributed into less recoverable microscopic forms","Destroys energy","friction converting motion to heat"
"THERMALIZES","Thermalizes","Energy redistributes among microscopic populations toward equilibrium","Energy is lost from the total accounting","electron-phonon relaxation"
"DISPERSES","Disperses energy","Energy spreads in space direction modes or spectrum","Necessarily dissipates","wave spreading; radiation into many directions"
"MAINTAINS_STEADY_STATE","Maintains steady state","Stored energy remains approximately constant through balanced inputs/outputs","No energy is flowing","driven resonator at steady amplitude"
"EXCHANGES","Exchanges energy","Energy can flow in either direction depending on state/conditions","Net transfer is always zero","coupled resonators"
"MEDIATES","Mediates / enables","System enables an energy-transfer pathway without being primary source","Provides all transferred energy","phonon intermediary in microwave-optical transduction"
"READS_OUT","Reads out / modulates","System carries information about another variable; detector power may come from elsewhere","Measured phenomenon becomes detector carrier","GW phase-modulating a laser interferometer"
"UNKNOWN","Unknown energy role","No established energy-transfer mechanism is known","A new energy form has been detected","telepathy/question node"
"NO_CREATE_LABEL","No create-from-nothing label","Project rule: apparent energy production must be traced to storage conversion mass-energy or external input","That new physics is impossible","all ordinary generators and sources"
