id,source,target,interaction_type,directionality,mediator,energy_transfer,coherent_possible,frequency_condition,evidence_status,source_ids,caveat
"P3-E001","MECH-STRUCT","ACOUSTIC-FIELD","RADIATE/DRIVE","source-to-target","material boundary","yes","yes","mechanical source spectrum drives matching acoustic spectrum","ESTABLISHED","P3-SRC-001","radiation efficiency and impedance are geometry/medium dependent"
"P3-E002","ACOUSTIC-FIELD","MECH-STRUCT","DRIVE/RESONATE","source-to-target","material boundary","yes","yes","response enhanced near structural eigenmodes","ESTABLISHED","P3-SRC-001","not every acoustic frequency couples efficiently"
"P3-E003","ELECTRICAL-FIELD","MECH-PIEZO","PIEZOELECTRIC_TRANSDUCE","bidirectional","piezoelectric polarization/strain","yes","yes","device resonance and impedance matching often relevant","ESTABLISHED","P3-SRC-002","material and geometry dependent"
"P3-E004","MECH-PIEZO","ELECTRICAL-SIGNAL","PIEZOELECTRIC_TRANSDUCE","bidirectional","piezoelectric polarization/strain","yes","yes","device resonance and impedance matching often relevant","ESTABLISHED","P3-SRC-002","receiver direction of piezoelectric transduction"
"P3-E005","EM-PHOTON","MOL-VIB","ABSORB/EXCITE","source-to-target","electric-dipole and related molecular coupling","yes","quantum coherent in suitable regimes","h f approximately equals allowed transition energy","ESTABLISHED","P3-SRC-003","selection rules and linewidth apply"
"P3-E006","ATOMIC-ELECTRONIC-EXCITATION","EM-PHOTON","EMIT","source-to-target","electromagnetic interaction","yes","yes","h f equals transition-energy difference within line shifts/width","ESTABLISHED","P3-SRC-004","spontaneous and stimulated emission are distinct processes"
"P3-E007","EM-PHOTON","PHONON","SCATTER_CREATE","source-to-target","optomechanical/Raman/Brillouin interaction","yes","yes","f_in approximately f_out + f_phonon plus momentum matching","ESTABLISHED","P3-SRC-005;P3-SRC-006","Stokes-type schematic"
"P3-E008","PHONON","EM-PHOTON","SCATTER_ANNIHILATE","source-to-target","optomechanical/Raman/Brillouin interaction","yes","yes","f_out approximately f_in + f_phonon plus momentum matching","ESTABLISHED","P3-SRC-005;P3-SRC-006","anti-Stokes-type schematic"
"P3-E009","EM-CAVITY","MECH-MODE","RADIATION_PRESSURE_FORCE","source-to-target","radiation pressure","yes","yes","broad force; resonant enhancement depends on cavity/mechanical conditions","ESTABLISHED","P3-SRC-005","carrier frequency need not equal mechanical frequency"
"P3-E010","MECH-MODE","EM-CAVITY","MODULATE_RESONANCE","source-to-target","moving boundary/photoelastic response","signal/energy depending regime","yes","mechanical motion creates optical phase/frequency modulation and sidebands","ESTABLISHED","P3-SRC-005","readout/modulation is not identity"
"P3-E011","MICROWAVE","PHONON-GHZ","PIEZOELECTRIC_TRANSDUCE","bidirectional","piezoelectric acoustic resonator","yes","yes","mode/impedance/resonance matching","ESTABLISHED","P3-SRC-002;P3-SRC-007","specific demonstrated devices are platform dependent"
"P3-E012","PHONON-GHZ","OPTICAL-PHOTON","OPTOMECHANICAL_TRANSDUCE","bidirectional","photoelastic/moving-boundary coupling","yes","yes","sum/difference frequency plus phase/co-resonance matching","ESTABLISHED","P3-SRC-006;P3-SRC-007","often pump-assisted"
"P3-E013","MICROWAVE","OPTICAL-SIGNAL","MEDIATED_TRANSDUCE","bidirectional","piezoelectric phonon intermediary","yes","yes","microwave-acoustic and acoustic-optical conditions both required","ESTABLISHED","P3-SRC-007","must render intermediary; not a bare direct edge"
"P3-E014","CAVITY-PHOTON","MAGNON","HYBRIDIZE","bidirectional","magnetic dipole/spin-photon coupling","yes","yes","near resonance; strong-coupling criteria required for hybrid label","ESTABLISHED","P3-SRC-008","weak coupling should not be mislabeled hybridization"
"P3-E015","OPTICAL-PHOTON","MAGNON","RAMAN_EXCITE_PROBE","bidirectional measurement/excitation","magneto-optical Raman interaction","yes","possible","Raman shift/selection rules depend on magnon mode","ESTABLISHED","P3-SRC-009","probe and excitation regimes differ"
"P3-E016","MAGNON-SPIN","PHONON","SPIN_PHONON_COUPLE","bidirectional","spin-lattice interaction","yes","possible","material/symmetry/mode dependent","ESTABLISHED","P3-SRC-009","can cause shifts linewidth changes or hybridization depending regime"
"P3-E017","ELECTRONIC-EXCITATIONS","PHONON-POPULATION","THERMALIZE_SCATTER","bidirectional","electron-phonon interaction","yes","not necessarily phase coherent","population/energy/momentum dependent","ESTABLISHED","P3-SRC-010","strength varies strongly by material and temperature"
"P3-E018","PHONON-MODE-A","PHONON-MODE-B","ANHARMONIC_SCATTER","many-body/bidirectional","lattice anharmonicity","yes","can be coherent or incoherent depending context","energy and crystal-momentum conservation govern processes","ESTABLISHED","P3-SRC-011","Normal and Umklapp processes differ"
"P3-E019","THERMAL-MATTER","EM-RADIATION","THERMAL_EMIT","source-to-target","matter-electromagnetic coupling","yes","generally incoherent thermal ensemble","temperature-dependent spectrum","ESTABLISHED","P3-SRC-012","thermal radiation is one heat-transfer pathway, not all heat"
"P3-E020","EM-RADIATION","THERMAL-MATTER","ABSORB_THERMALIZE","source-to-target","material optical absorption then internal relaxation","yes","varies","absorption spectrum and internal relaxation are material dependent","ESTABLISHED","P3-SRC-012;P3-SRC-003;P3-SRC-004","absorbed energy can populate multiple internal degrees of freedom"
"P3-E021","EM-FIELD","PLASMA-MODE","DRIVE_RESONATE","bidirectional interaction","Lorentz force/collective charge response","yes","yes","matching to plasma/gyro/mode dispersion where applicable","ESTABLISHED","P3-SRC-013","many distinct plasma branches exist"
"P3-E022","GW-STRAIN","INTERFEROMETER-OPTICAL-PATH","READ_OUT_MODULATE","source-to-target","spacetime-induced differential optical path","measurement coupling","yes","GW modulation frequency imprinted on optical phase/intensity","ESTABLISHED","P3-SRC-014","gravitational wave does not become optical radiation"
"P3-E023","INTERFEROMETER-OPTICAL-PATH","PHOTODETECTOR-ELECTRICAL","READ_OUT","source-to-target","optical interference and photodetection","signal conversion","yes","photodetector follows encoded interference variation within bandwidth","ESTABLISHED","P3-SRC-014","detector electronics are downstream measurement"
"P3-E024","LASER-PHOTONS","LIGO-MIRROR","RADIATION_PRESSURE_FORCE","source-to-target","photon momentum transfer","yes","yes","laser-power modulation produces calibrated force/displacement","ESTABLISHED","P3-SRC-015","used by LIGO as calibration actuator"
"P3-E025","TIDAL-GRAVITATIONAL-FORCING","OCEAN-TIDE","DRIVE","source-to-target","gravitational potential plus rotating Earth/ocean dynamics","yes","yes","forcing periods interact with ocean-basin response/resonances","ESTABLISHED","P3-SRC-016","tidal period is not a unique frequency of gravity"
